commodity,commodity_subtype,zone,resource_id,component_id,type,variable,value
Biomass_Herb,capacity,bioherb_SE,SE_BECCS_Electricity_Herb,SE_BECCS_Electricity_Herb_biomass_edge,BECCSElectricity,capacity,0.0
Biomass_Wood,capacity,biowood_SE,SE_BECCS_Electricity_Wood,SE_BECCS_Electricity_Wood_biomass_edge,BECCSElectricity,capacity,0.0
Biomass_Herb,capacity,bioherb_SE,SE_Bio_Gasoline_Herb,SE_Bio_Gasoline_Herb_biomass_edge,BECCSGasoline,capacity,8235.305245574862
Biomass_Wood,capacity,biowood_SE,SE_Bio_Gasoline_Wood,SE_Bio_Gasoline_Wood_biomass_edge,BECCSGasoline,capacity,12400.844444444447
Biomass_Herb,capacity,bioherb_SE,SE_BECCS_H2_Herb,SE_BECCS_H2_Herb_biomass_edge,BECCSHydrogen,capacity,612.6058655362476
Biomass_Wood,capacity,biowood_SE,SE_BECCS_H2_Wood,SE_BECCS_H2_Wood_biomass_edge,BECCSHydrogen,capacity,-2.30742317909405e-12
Biomass_Herb,capacity,bioherb_SE,SE_Bio_FT_Herb,SE_Bio_FT_Herb_biomass_edge,BECCSLiquidFuels,capacity,0.0
Biomass_Wood,capacity,biowood_SE,SE_Bio_FT_Wood,SE_Bio_FT_Wood_biomass_edge,BECCSLiquidFuels,capacity,0.0
Biomass_Herb,capacity,bioherb_SE,SE_BECCS_FT_Herb,SE_BECCS_FT_Herb_biomass_edge,BECCSLiquidFuels,capacity,0.0
Biomass_Wood,capacity,biowood_SE,SE_BECCS_FT_Wood,SE_BECCS_FT_Wood_biomass_edge,BECCSLiquidFuels,capacity,0.0
Biomass_Herb,capacity,bioherb_SE,SE_Bio_NaturalGas_Herb,SE_Bio_NaturalGas_Herb_biomass_edge,BECCSNaturalGas,capacity,0.0
Biomass_Wood,capacity,biowood_SE,SE_Bio_NaturalGas_Wood,SE_Bio_NaturalGas_Wood_biomass_edge,BECCSNaturalGas,capacity,0.0
Biomass_Herb,capacity,bioherb_SE,SE_BECCS_NaturalGas_Herb,SE_BECCS_NaturalGas_Herb_biomass_edge,BECCSNaturalGas,capacity,0.0
Biomass_Wood,capacity,biowood_SE,SE_BECCS_NaturalGas_Wood,SE_BECCS_NaturalGas_Wood_biomass_edge,BECCSNaturalGas,capacity,0.0
CO2Captured,capacity,co2_captured_SE,SE_CO2_Injection_1,SE_CO2_Injection_1_co2_captured_edge,CO2Injection,capacity,19634.7
CO2Captured,capacity,co2_captured_SE,SE_CO2_Injection_2,SE_CO2_Injection_2_co2_captured_edge,CO2Injection,capacity,21367.2
CO2Captured,capacity,co2_captured_SE,SE_CO2_Injection_3,SE_CO2_Injection_3_co2_captured_edge,CO2Injection,capacity,12704.8
CO2Captured,capacity,co2_captured_SE,SE_CO2_Injection_4,SE_CO2_Injection_4_co2_captured_edge,CO2Injection,capacity,14437.3
CO2Captured,capacity,co2_captured_SE,SE_CO2_Injection_5,SE_CO2_Injection_5_co2_captured_edge,CO2Injection,capacity,8662.4
CO2Captured,capacity,co2_captured_SE,SE_CO2_Injection_6,SE_CO2_Injection_6_co2_captured_edge,CO2Injection,capacity,55439.2
CO2Captured,capacity,co2_captured_SE,SE_CO2_Injection_7,SE_CO2_Injection_7_co2_captured_edge,CO2Injection,capacity,15014.8
CO2Captured,capacity,co2_captured_SE,SE_CO2_Injection_8,SE_CO2_Injection_8_co2_captured_edge,CO2Injection,capacity,6929.9
CO2Captured,capacity,co2_captured_SE,SE_CO2_Injection_9,SE_CO2_Injection_9_co2_captured_edge,CO2Injection,capacity,2887.5
CO2Captured,capacity,co2_captured_SE,SE_CO2_Injection_10,SE_CO2_Injection_10_co2_captured_edge,CO2Injection,capacity,9239.9
CO2Captured,capacity,co2_captured_SE,SE_CO2_Injection_11,SE_CO2_Injection_11_co2_captured_edge,CO2Injection,capacity,577.5
CO2,capacity,co2_sink,SE_Sorbent_DAC,SE_Sorbent_DAC_co2_edge,ElectricDAC,capacity,0.0
Electricity,capacity,elec_SE,battery_SE,battery_SE_discharge_edge,Battery,capacity,1078.511468279775
Electricity,capacity,elec_SE,pumpedhydro_SE,pumpedhydro_SE_discharge_edge,Battery,capacity,6261.984
Hydrogen,capacity,h2_SE,SE_Electrolyzer,SE_Electrolyzer_h2_edge,Electrolyzer,capacity,21121.923947067084
Electricity,capacity,elec_SE,SE_CCGT-H2,SE_CCGT-H2_elec_edge,ThermalPower{Hydrogen},capacity,0.0
Electricity,capacity,elec_SE,SE_OCGT-H2,SE_OCGT-H2_elec_edge,ThermalPower{Hydrogen},capacity,0.0
Hydrogen,capacity,internal,SE_Above_ground_storage,SE_Above_ground_storage_charge_edge,GasStorage{Hydrogen},capacity,12506.316841333351
Hydrogen,capacity,internal,SE_Above_ground_storage,SE_Above_ground_storage_discharge_edge,GasStorage{Hydrogen},capacity,15790.838737999125
Electricity,capacity,elec_SE,SE_conventional_hydroelectric_1,SE_conventional_hydroelectric_1_discharge_edge,HydroRes,capacity,11123.215
Electricity,capacity,hydro_source,SE_conventional_hydroelectric_1,SE_conventional_hydroelectric_1_inflow_edge,HydroRes,capacity,11123.215
Electricity,capacity,elec_SE,SE_small_hydroelectric_1,SE_small_hydroelectric_1_elec_edge,MustRun,capacity,249.895
CO2,capacity,co2_sink,SE_Solvent_DAC,SE_Solvent_DAC_co2_edge,NaturalGasDAC,capacity,0.0
Hydrogen,capacity,h2_SE,SE_Large_SMR_Non_CCS,SE_Large_SMR_Non_CCS_h2_edge,ThermalHydrogen{NaturalGas},capacity,10340.048109917385
Hydrogen,capacity,h2_SE,SE_ATR_wCCS_94pct,SE_ATR_wCCS_94pct_h2_edge,ThermalHydrogenCCS{NaturalGas},capacity,0.0
Hydrogen,capacity,h2_SE,SE_Large_SMR_wCCS_96pct,SE_Large_SMR_wCCS_96pct_h2_edge,ThermalHydrogenCCS{NaturalGas},capacity,0.0
Electricity,capacity,elec_SE,SE_natural_gas_fired_combined_cycle_1,SE_natural_gas_fired_combined_cycle_1_elec_edge,ThermalPower{NaturalGas},capacity,26218.712
Electricity,capacity,elec_SE,SE_natural_gas_fired_combined_cycle_2,SE_natural_gas_fired_combined_cycle_2_elec_edge,ThermalPower{NaturalGas},capacity,0.0
Electricity,capacity,elec_SE,SE_natural_gas_fired_combined_cycle_3,SE_natural_gas_fired_combined_cycle_3_elec_edge,ThermalPower{NaturalGas},capacity,42679.32
Electricity,capacity,elec_SE,SE_natural_gas_fired_combined_cycle_4,SE_natural_gas_fired_combined_cycle_4_elec_edge,ThermalPower{NaturalGas},capacity,0.0
Electricity,capacity,elec_SE,SE_natural_gas_fired_combustion_turbine_1,SE_natural_gas_fired_combustion_turbine_1_elec_edge,ThermalPower{NaturalGas},capacity,1769.0946177028216
Electricity,capacity,elec_SE,SE_natural_gas_fired_combustion_turbine_2,SE_natural_gas_fired_combustion_turbine_2_elec_edge,ThermalPower{NaturalGas},capacity,0.0
Electricity,capacity,elec_SE,SE_naturalgas_ccavgcf_moderate_0,SE_naturalgas_ccavgcf_moderate_0_elec_edge,ThermalPower{NaturalGas},capacity,0.0
Electricity,capacity,elec_SE,SE_naturalgas_ctavgcf_moderate_0,SE_naturalgas_ctavgcf_moderate_0_elec_edge,ThermalPower{NaturalGas},capacity,0.0
Electricity,capacity,elec_SE,SE_naturalgas_ccccsavgcf_conservative_0,SE_naturalgas_ccccsavgcf_conservative_0_elec_edge,ThermalPowerCCS{NaturalGas},capacity,0.0
Electricity,capacity,elec_SE,SE_nuclear_1,SE_nuclear_1_elec_edge,ThermalPower{Uranium},capacity,33632.288
Electricity,capacity,elec_SE,SE_nuclear_2,SE_nuclear_2_elec_edge,ThermalPower{Uranium},capacity,2228.0
Electricity,capacity,elec_SE,SE_nuclear_mid_0,SE_nuclear_mid_0_elec_edge,ThermalPower{Uranium},capacity,0.0
CO2Captured,capacity,co2_captured_SE,Synthetic_Ethylene_Non_CCS,Synthetic_Ethylene_Non_CCS_co2_captured_edge,SyntheticEthylene,capacity,1.1702740009033772e-13
CO2Captured,capacity,co2_captured_SE,Synthetic_Ethylene_CCS_90,Synthetic_Ethylene_CCS_90_co2_captured_edge,SyntheticEthylene,capacity,897.2231632702507
CO2Captured,capacity,co2_captured_SE,SE_Synthetic_FT,SE_Synthetic_FT_co2_captured_edge,SyntheticLiquidFuels,capacity,0.0
CO2Captured,capacity,co2_captured_SE,SE_Synthetic_NaturalGas,SE_Synthetic_NaturalGas_co2_captured_edge,SyntheticNaturalGas,capacity,0.0
Electricity,capacity,elec_SE,SE_utilitypv_class1_moderate_70_0_2_1,SE_utilitypv_class1_moderate_70_0_2_1_edge,VRE,capacity,104392.74934791322
Electricity,capacity,elec_SE,SE_utilitypv_class1_moderate_70_0_2_2,SE_utilitypv_class1_moderate_70_0_2_2_edge,VRE,capacity,0.0
Electricity,capacity,elec_SE,SE_utilitypv_class1_moderate_70_0_2_3,SE_utilitypv_class1_moderate_70_0_2_3_edge,VRE,capacity,0.0
Electricity,capacity,elec_SE,SE_utilitypv_class1_moderate_70_0_2_4,SE_utilitypv_class1_moderate_70_0_2_4_edge,VRE,capacity,0.0
Electricity,capacity,elec_SE,SE_utilitypv_class1_moderate_70_0_2_5,SE_utilitypv_class1_moderate_70_0_2_5_edge,VRE,capacity,0.0
Electricity,capacity,elec_SE,SE_utilitypv_class1_moderate_70_0_2_6,SE_utilitypv_class1_moderate_70_0_2_6_edge,VRE,capacity,0.0
Electricity,capacity,elec_SE,SE_utilitypv_class1_moderate_70_0_2_7,SE_utilitypv_class1_moderate_70_0_2_7_edge,VRE,capacity,0.0
Electricity,capacity,elec_SE,SE_utilitypv_class1_moderate_70_0_2_8,SE_utilitypv_class1_moderate_70_0_2_8_edge,VRE,capacity,0.0
Electricity,capacity,elec_SE,SE_landbasedwind_class4_moderate_70_1,SE_landbasedwind_class4_moderate_70_1_edge,VRE,capacity,0.0
Electricity,capacity,elec_SE,SE_landbasedwind_class4_moderate_70_2,SE_landbasedwind_class4_moderate_70_2_edge,VRE,capacity,0.0
Electricity,capacity,elec_SE,SE_landbasedwind_class4_moderate_70_3,SE_landbasedwind_class4_moderate_70_3_edge,VRE,capacity,62025.11571393783
Electricity,capacity,elec_SE,SE_landbasedwind_class4_moderate_70_4,SE_landbasedwind_class4_moderate_70_4_edge,VRE,capacity,66757.60235215066
Electricity,capacity,elec_SE,SE_landbasedwind_class4_moderate_70_5,SE_landbasedwind_class4_moderate_70_5_edge,VRE,capacity,0.0
Electricity,capacity,elec_SE,SE_landbasedwind_class4_moderate_70_6,SE_landbasedwind_class4_moderate_70_6_edge,VRE,capacity,21928.588019027935
Electricity,capacity,elec_SE,SE_landbasedwind_class4_moderate_70_7,SE_landbasedwind_class4_moderate_70_7_edge,VRE,capacity,0.0
Electricity,capacity,elec_SE,SE_landbasedwind_class4_moderate_70_8,SE_landbasedwind_class4_moderate_70_8_edge,VRE,capacity,0.0
Electricity,capacity,elec_SE,existing_solar_SE,existing_solar_SE_edge,VRE,capacity,8502.2
Electricity,capacity,battery_SE_storage,battery_SE,battery_SE_storage,Battery,capacity,1172.2950742171467
Electricity,capacity,pumpedhydro_SE_storage,pumpedhydro_SE,pumpedhydro_SE_storage,Battery,capacity,219317.12270558724
Biomass_Herb,capacity,bioherb_SE,SE_BECCS_Electricity_Herb,SE_BECCS_Electricity_Herb_biomass_edge,BECCSElectricity,new_capacity,0.0
Biomass_Wood,capacity,biowood_SE,SE_BECCS_Electricity_Wood,SE_BECCS_Electricity_Wood_biomass_edge,BECCSElectricity,new_capacity,0.0
Biomass_Herb,capacity,bioherb_SE,SE_Bio_Gasoline_Herb,SE_Bio_Gasoline_Herb_biomass_edge,BECCSGasoline,new_capacity,8235.305245574862
Biomass_Wood,capacity,biowood_SE,SE_Bio_Gasoline_Wood,SE_Bio_Gasoline_Wood_biomass_edge,BECCSGasoline,new_capacity,12400.844444444447
Biomass_Herb,capacity,bioherb_SE,SE_BECCS_H2_Herb,SE_BECCS_H2_Herb_biomass_edge,BECCSHydrogen,new_capacity,612.6058655362476
Biomass_Wood,capacity,biowood_SE,SE_BECCS_H2_Wood,SE_BECCS_H2_Wood_biomass_edge,BECCSHydrogen,new_capacity,-2.30742317909405e-12
Biomass_Herb,capacity,bioherb_SE,SE_Bio_FT_Herb,SE_Bio_FT_Herb_biomass_edge,BECCSLiquidFuels,new_capacity,0.0
Biomass_Wood,capacity,biowood_SE,SE_Bio_FT_Wood,SE_Bio_FT_Wood_biomass_edge,BECCSLiquidFuels,new_capacity,0.0
Biomass_Herb,capacity,bioherb_SE,SE_BECCS_FT_Herb,SE_BECCS_FT_Herb_biomass_edge,BECCSLiquidFuels,new_capacity,0.0
Biomass_Wood,capacity,biowood_SE,SE_BECCS_FT_Wood,SE_BECCS_FT_Wood_biomass_edge,BECCSLiquidFuels,new_capacity,0.0
Biomass_Herb,capacity,bioherb_SE,SE_Bio_NaturalGas_Herb,SE_Bio_NaturalGas_Herb_biomass_edge,BECCSNaturalGas,new_capacity,0.0
Biomass_Wood,capacity,biowood_SE,SE_Bio_NaturalGas_Wood,SE_Bio_NaturalGas_Wood_biomass_edge,BECCSNaturalGas,new_capacity,0.0
Biomass_Herb,capacity,bioherb_SE,SE_BECCS_NaturalGas_Herb,SE_BECCS_NaturalGas_Herb_biomass_edge,BECCSNaturalGas,new_capacity,0.0
Biomass_Wood,capacity,biowood_SE,SE_BECCS_NaturalGas_Wood,SE_BECCS_NaturalGas_Wood_biomass_edge,BECCSNaturalGas,new_capacity,0.0
CO2Captured,capacity,co2_captured_SE,SE_CO2_Injection_1,SE_CO2_Injection_1_co2_captured_edge,CO2Injection,new_capacity,0.0
CO2Captured,capacity,co2_captured_SE,SE_CO2_Injection_2,SE_CO2_Injection_2_co2_captured_edge,CO2Injection,new_capacity,0.0
CO2Captured,capacity,co2_captured_SE,SE_CO2_Injection_3,SE_CO2_Injection_3_co2_captured_edge,CO2Injection,new_capacity,0.0
CO2Captured,capacity,co2_captured_SE,SE_CO2_Injection_4,SE_CO2_Injection_4_co2_captured_edge,CO2Injection,new_capacity,0.0
CO2Captured,capacity,co2_captured_SE,SE_CO2_Injection_5,SE_CO2_Injection_5_co2_captured_edge,CO2Injection,new_capacity,0.0
CO2Captured,capacity,co2_captured_SE,SE_CO2_Injection_6,SE_CO2_Injection_6_co2_captured_edge,CO2Injection,new_capacity,0.0
CO2Captured,capacity,co2_captured_SE,SE_CO2_Injection_7,SE_CO2_Injection_7_co2_captured_edge,CO2Injection,new_capacity,0.0
CO2Captured,capacity,co2_captured_SE,SE_CO2_Injection_8,SE_CO2_Injection_8_co2_captured_edge,CO2Injection,new_capacity,0.0
CO2Captured,capacity,co2_captured_SE,SE_CO2_Injection_9,SE_CO2_Injection_9_co2_captured_edge,CO2Injection,new_capacity,0.0
CO2Captured,capacity,co2_captured_SE,SE_CO2_Injection_10,SE_CO2_Injection_10_co2_captured_edge,CO2Injection,new_capacity,0.0
CO2Captured,capacity,co2_captured_SE,SE_CO2_Injection_11,SE_CO2_Injection_11_co2_captured_edge,CO2Injection,new_capacity,0.0
CO2,capacity,co2_sink,SE_Sorbent_DAC,SE_Sorbent_DAC_co2_edge,ElectricDAC,new_capacity,0.0
Electricity,capacity,elec_SE,battery_SE,battery_SE_discharge_edge,Battery,new_capacity,1078.511468279775
Electricity,capacity,elec_SE,pumpedhydro_SE,pumpedhydro_SE_discharge_edge,Battery,new_capacity,0.0
Hydrogen,capacity,h2_SE,SE_Electrolyzer,SE_Electrolyzer_h2_edge,Electrolyzer,new_capacity,21121.923947067084
Electricity,capacity,elec_SE,SE_CCGT-H2,SE_CCGT-H2_elec_edge,ThermalPower{Hydrogen},new_capacity,0.0
Electricity,capacity,elec_SE,SE_OCGT-H2,SE_OCGT-H2_elec_edge,ThermalPower{Hydrogen},new_capacity,0.0
Hydrogen,capacity,internal,SE_Above_ground_storage,SE_Above_ground_storage_charge_edge,GasStorage{Hydrogen},new_capacity,12506.316841333351
Hydrogen,capacity,internal,SE_Above_ground_storage,SE_Above_ground_storage_discharge_edge,GasStorage{Hydrogen},new_capacity,15790.838737999125
Electricity,capacity,elec_SE,SE_conventional_hydroelectric_1,SE_conventional_hydroelectric_1_discharge_edge,HydroRes,new_capacity,0.0
Electricity,capacity,hydro_source,SE_conventional_hydroelectric_1,SE_conventional_hydroelectric_1_inflow_edge,HydroRes,new_capacity,0.0
Electricity,capacity,elec_SE,SE_small_hydroelectric_1,SE_small_hydroelectric_1_elec_edge,MustRun,new_capacity,0.0
CO2,capacity,co2_sink,SE_Solvent_DAC,SE_Solvent_DAC_co2_edge,NaturalGasDAC,new_capacity,0.0
Hydrogen,capacity,h2_SE,SE_Large_SMR_Non_CCS,SE_Large_SMR_Non_CCS_h2_edge,ThermalHydrogen{NaturalGas},new_capacity,10340.048109917385
Hydrogen,capacity,h2_SE,SE_ATR_wCCS_94pct,SE_ATR_wCCS_94pct_h2_edge,ThermalHydrogenCCS{NaturalGas},new_capacity,0.0
Hydrogen,capacity,h2_SE,SE_Large_SMR_wCCS_96pct,SE_Large_SMR_wCCS_96pct_h2_edge,ThermalHydrogenCCS{NaturalGas},new_capacity,0.0
Electricity,capacity,elec_SE,SE_natural_gas_fired_combined_cycle_1,SE_natural_gas_fired_combined_cycle_1_elec_edge,ThermalPower{NaturalGas},new_capacity,0.0
Electricity,capacity,elec_SE,SE_natural_gas_fired_combined_cycle_2,SE_natural_gas_fired_combined_cycle_2_elec_edge,ThermalPower{NaturalGas},new_capacity,0.0
Electricity,capacity,elec_SE,SE_natural_gas_fired_combined_cycle_3,SE_natural_gas_fired_combined_cycle_3_elec_edge,ThermalPower{NaturalGas},new_capacity,0.0
Electricity,capacity,elec_SE,SE_natural_gas_fired_combined_cycle_4,SE_natural_gas_fired_combined_cycle_4_elec_edge,ThermalPower{NaturalGas},new_capacity,0.0
