commodity,commodity_subtype,node_in,node_out,resource_id,component_id,type,variable,time,weighted_value,time_weight,zone,weighted_value_flow
Hydrogen,flow,MIDAT_ATR_wCCS_94pct_transforms,h2_MIDAT,MIDAT_ATR_wCCS_94pct,MIDAT_ATR_wCCS_94pct_h2_edge,ThermalHydrogenCCS{NaturalGas},flow,504,0.0,,MIDAT,0.0
Hydrogen,flow,MIDAT_Above_ground_storage_transforms,h2_MIDAT,MIDAT_Above_ground_storage,MIDAT_Above_ground_storage_external_discharge_edge,GasStorage{Hydrogen},flow,504,4475837.920395561,,MIDAT,4475837.920395561
Hydrogen,flow,MIDAT_BECCS_H2_Herb_transforms,h2_MIDAT,MIDAT_BECCS_H2_Herb,MIDAT_BECCS_H2_Herb_h2_edge,BECCSHydrogen,flow,504,0.0,,MIDAT,0.0
Hydrogen,flow,MIDAT_BECCS_H2_Wood_transforms,h2_MIDAT,MIDAT_BECCS_H2_Wood,MIDAT_BECCS_H2_Wood_h2_edge,BECCSHydrogen,flow,504,0.0,,MIDAT,0.0
Hydrogen,flow,MIDAT_Electrolyzer_transforms,h2_MIDAT,MIDAT_Electrolyzer,MIDAT_Electrolyzer_h2_edge,Electrolyzer,flow,504,36101208.296847396,,MIDAT,36101208.296847396
Hydrogen,flow,MIDAT_Large_SMR_Non_CCS_transforms,h2_MIDAT,MIDAT_Large_SMR_Non_CCS,MIDAT_Large_SMR_Non_CCS_h2_edge,ThermalHydrogen{NaturalGas},flow,504,28424338.503152594,,MIDAT,28424338.503152594
Hydrogen,flow,MIDAT_Large_SMR_wCCS_96pct_transforms,h2_MIDAT,MIDAT_Large_SMR_wCCS_96pct,MIDAT_Large_SMR_wCCS_96pct_h2_edge,ThermalHydrogenCCS{NaturalGas},flow,504,0.0,,MIDAT,0.0
Hydrogen,flow,NE_ATR_wCCS_94pct_transforms,h2_NE,NE_ATR_wCCS_94pct,NE_ATR_wCCS_94pct_h2_edge,ThermalHydrogenCCS{NaturalGas},flow,504,0.0,,NE,0.0
Hydrogen,flow,NE_Above_ground_storage_transforms,h2_NE,NE_Above_ground_storage,NE_Above_ground_storage_external_discharge_edge,GasStorage{Hydrogen},flow,504,1335591.1934571445,,NE,1335591.1934571445
Hydrogen,flow,NE_BECCS_H2_Herb_transforms,h2_NE,NE_BECCS_H2_Herb,NE_BECCS_H2_Herb_h2_edge,BECCSHydrogen,flow,504,0.0,,NE,0.0
Hydrogen,flow,NE_BECCS_H2_Wood_transforms,h2_NE,NE_BECCS_H2_Wood,NE_BECCS_H2_Wood_h2_edge,BECCSHydrogen,flow,504,0.0,,NE,0.0
Hydrogen,flow,NE_Electrolyzer_transforms,h2_NE,NE_Electrolyzer,NE_Electrolyzer_h2_edge,Electrolyzer,flow,504,9810184.066862212,,NE,9810184.066862212
Hydrogen,flow,NE_Large_SMR_Non_CCS_transforms,h2_NE,NE_Large_SMR_Non_CCS,NE_Large_SMR_Non_CCS_h2_edge,ThermalHydrogen{NaturalGas},flow,504,6062410.333137787,,NE,6062410.333137787
Hydrogen,flow,NE_Large_SMR_wCCS_96pct_transforms,h2_NE,NE_Large_SMR_wCCS_96pct,NE_Large_SMR_wCCS_96pct_h2_edge,ThermalHydrogenCCS{NaturalGas},flow,504,0.0,,NE,0.0
