commodity,commodity_subtype,node_in,node_out,resource_id,component_id,type,variable,time,weighted_value,time_weight,zone,weighted_value_flow
NaturalGas,flow,MIDAT_BECCS_NaturalGas_Herb_transforms,natgas_MIDAT,MIDAT_BECCS_NaturalGas_Herb,MIDAT_BECCS_NaturalGas_Herb_natgas_edge,BECCSNaturalGas,flow,504,0.0,,MIDAT,0.0
NaturalGas,flow,MIDAT_BECCS_NaturalGas_Wood_transforms,natgas_MIDAT,MIDAT_BECCS_NaturalGas_Wood,MIDAT_BECCS_NaturalGas_Wood_natgas_edge,BECCSNaturalGas,flow,504,0.0,,MIDAT,0.0
NaturalGas,flow,MIDAT_Bio_NaturalGas_Herb_transforms,natgas_MIDAT,MIDAT_Bio_NaturalGas_Herb,MIDAT_Bio_NaturalGas_Herb_natgas_edge,BECCSNaturalGas,flow,504,0.0,,MIDAT,0.0
NaturalGas,flow,MIDAT_Bio_NaturalGas_Wood_transforms,natgas_MIDAT,MIDAT_Bio_NaturalGas_Wood,MIDAT_Bio_NaturalGas_Wood_natgas_edge,BECCSNaturalGas,flow,504,0.0,,MIDAT,0.0
NaturalGas,flow,MIDAT_NG_Fossil_Upstream_transforms,natgas_MIDAT,MIDAT_NG_Fossil_Upstream,MIDAT_NG_Fossil_Upstream_fuel_edge,FossilFuelsUpstream{NaturalGas},flow,504,543800301.5326523,,MIDAT,543800301.5326523
NaturalGas,flow,MIDAT_Synthetic_NaturalGas_transforms,natgas_MIDAT,MIDAT_Synthetic_NaturalGas,MIDAT_Synthetic_NaturalGas_natgas_edge,SyntheticNaturalGas,flow,504,0.0,,MIDAT,0.0
NaturalGas,flow,NE_BECCS_NaturalGas_Herb_transforms,natgas_NE,NE_BECCS_NaturalGas_Herb,NE_BECCS_NaturalGas_Herb_natgas_edge,BECCSNaturalGas,flow,504,0.0,,NE,0.0
NaturalGas,flow,NE_BECCS_NaturalGas_Wood_transforms,natgas_NE,NE_BECCS_NaturalGas_Wood,NE_BECCS_NaturalGas_Wood_natgas_edge,BECCSNaturalGas,flow,504,0.0,,NE,0.0
NaturalGas,flow,NE_Bio_NaturalGas_Herb_transforms,natgas_NE,NE_Bio_NaturalGas_Herb,NE_Bio_NaturalGas_Herb_natgas_edge,BECCSNaturalGas,flow,504,0.0,,NE,0.0
NaturalGas,flow,NE_Bio_NaturalGas_Wood_transforms,natgas_NE,NE_Bio_NaturalGas_Wood,NE_Bio_NaturalGas_Wood_natgas_edge,BECCSNaturalGas,flow,504,0.0,,NE,0.0
NaturalGas,flow,NE_NG_Fossil_Upstream_transforms,natgas_NE,NE_NG_Fossil_Upstream,NE_NG_Fossil_Upstream_fuel_edge,FossilFuelsUpstream{NaturalGas},flow,504,257696971.04944363,,NE,257696971.04944363
NaturalGas,flow,NE_Synthetic_NaturalGas_transforms,natgas_NE,NE_Synthetic_NaturalGas,NE_Synthetic_NaturalGas_natgas_edge,SyntheticNaturalGas,flow,504,0.0,,NE,0.0
NaturalGas,flow,SE_BECCS_NaturalGas_Herb_transforms,natgas_SE,SE_BECCS_NaturalGas_Herb,SE_BECCS_NaturalGas_Herb_natgas_edge,BECCSNaturalGas,flow,504,0.0,,SE,0.0
NaturalGas,flow,SE_BECCS_NaturalGas_Wood_transforms,natgas_SE,SE_BECCS_NaturalGas_Wood,SE_BECCS_NaturalGas_Wood_natgas_edge,BECCSNaturalGas,flow,504,0.0,,SE,0.0
NaturalGas,flow,SE_Bio_NaturalGas_Herb_transforms,natgas_SE,SE_Bio_NaturalGas_Herb,SE_Bio_NaturalGas_Herb_natgas_edge,BECCSNaturalGas,flow,504,0.0,,SE,0.0
NaturalGas,flow,SE_Bio_NaturalGas_Wood_transforms,natgas_SE,SE_Bio_NaturalGas_Wood,SE_Bio_NaturalGas_Wood_natgas_edge,BECCSNaturalGas,flow,504,0.0,,SE,0.0
NaturalGas,flow,SE_NG_Fossil_Upstream_transforms,natgas_SE,SE_NG_Fossil_Upstream,SE_NG_Fossil_Upstream_fuel_edge,FossilFuelsUpstream{NaturalGas},flow,504,475128798.47461,,SE,475128798.47461
NaturalGas,flow,SE_Synthetic_NaturalGas_transforms,natgas_SE,SE_Synthetic_NaturalGas,SE_Synthetic_NaturalGas_natgas_edge,SyntheticNaturalGas,flow,504,0.0,,SE,0.0
NaturalGas,flow,natgas_MIDAT,MIDAT_ATR_wCCS_94pct_transforms,MIDAT_ATR_wCCS_94pct,MIDAT_ATR_wCCS_94pct_fuel_edge,ThermalHydrogenCCS{NaturalGas},flow,504,0.0,,MIDAT,-0.0
NaturalGas,flow,natgas_MIDAT,MIDAT_Large_SMR_Non_CCS_transforms,MIDAT_Large_SMR_Non_CCS,MIDAT_Large_SMR_Non_CCS_fuel_edge,ThermalHydrogen{NaturalGas},flow,504,36980234.44427064,,MIDAT,-36980234.44427064
